slug_url,title,built_year,is_featured,is_premium,floors,bedroom,bathroom,is_price_on_call,price_type,road_access,property_face,state,district,city,area,area_sq_ft,amount
house-on-sale-in-sipadol-bhaktapur-NH11430,"House on sale in Sipadol, Bhaktapur",,False,False,,,3.0,False,Total Amount,40.0,,Bagmati State,Bhaktapur,Suryabinayak Municipality,Sipadol,1369.0,20500000.0
house-on-sale-in-bhaisepati-NH11429,House on sale in Bhaisepati,,False,False,3.0,4.0,5.0,False,Total Amount,13.0,North-West,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1219.26,26000000.0
house-on-sale-at-thimi-kiwa-chowk-NH11427,"House on sale at Thimi, Kiwa Chowk",,False,False,2.5,5.0,3.0,False,Total Amount,12.0,East,Bagmati State,Bhaktapur,Madhyapur Thimi Municipality,Kaushaltar,855.62,8200000.0
house-on-sale-in-dhunchepakha-bhaktapur-NH11426,"House on sale in Dhunchepakha, Bhaktapur",,False,False,3.0,6.0,4.0,False,Total Amount,20.0,East,Bagmati State,Bhaktapur,Madhyapur Thimi Municipality,Dhunchepakha,1625.68,19000000.0
house-on-sale-in-chundevi-chowk-naikap-NH11425,"House on sale in Chundevi Chowk, Naikap",,False,False,3.0,6.0,3.0,False,Total Amount,13.0,South-West,Bagmati State,Kathmandu,Chandragiri  Municipality,Naya Naikap,1026.75,15500000.0
bungalow-on-sale-in-dhapakhel-NH11422,Bungalow on sale in Dhapakhel,,False,False,2.5,3.0,3.0,False,Total Amount,20.0,North,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Dhapakhel,855.62,14500000.0
house-on-sale-in-balkumari-NH11421,House on sale in Balkumari,,False,False,2.5,6.0,4.0,False,Total Amount,,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Balkumari,2053.5,35000000.0
house-on-sale-at-golfutar-NH11420,House on sale at Golfutar,,False,False,2.5,8.0,4.0,False,Total Amount,,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Golfutar,941.1800000000001,18000000.0
house-on-sale-at-suryabinayak-NH11417,House on sale at Suryabinayak,,False,False,1.0,2.0,1.0,False,Total Amount,13.0,,Bagmati State,Bhaktapur,Suryabinayak Municipality,Darjeeling Height,1026.75,12000000.0
house-on-sale-in-pepsicola-NH11416,House on sale in Pepsicola,,False,False,3.5,6.0,4.0,False,Total Amount,20.0,,Bagmati State,Kathmandu,Kageshwari Manohara  Municipality,Pepsicola,1240.6499999999999,28500000.0
house-on-sale-at-hattiban-NH11415,House on sale at Hattiban,,False,False,2.5,6.0,4.0,False,Total Amount,12.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Hattiban,1369.0,23000000.0
house-on-sale-in-sitapaila-NH11411,House on sale in Sitapaila,,False,False,,,,False,Total Amount,14.0,,Bagmati State,Kathmandu,Nagarjun  Municipality,Sitapaila,3422.5,39000000.0
house-on-sale-in-kalanki-NH11410,House on sale in Kalanki,,False,False,2.5,4.0,3.0,False,Total Amount,12.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Kalanki,855.62,11700000.0
house-on-sale-in-pasikot-NH11409,House on sale in Pasikot,,False,False,2.0,4.0,3.0,False,Total Amount,20.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Pasikot,1369.0,23500000.0
bungalow-house-on-sale-at-kalanki-NH11408,Bungalow house on sale at Kalanki,,False,False,2.5,6.0,3.0,False,Total Amount,26.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Kalanki,2566.87,45000000.0
house-on-sale-in-sanagaun-lalitpur-NH11407,"House on sale in Sanagaun, Lalitpur",,False,False,2.5,4.0,3.0,False,Total Amount,13.0,,Bagmati State,Lalitpur,Mahalaxmi Municipality,Sanagaun Lubhu,1026.75,16500000.0
semi-bungalow-on-sale-at-dhapakhel-lalitpur-NH11405,"Semi bungalow on sale at Dhapakhel, Lalitpur",,False,False,,,,False,Total Amount,,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Dhapakhel,855.62,14500000.0
house-on-sale-at-kapan-NH11403,House on sale at Kapan,,False,False,3.0,7.0,3.0,False,Total Amount,13.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Kapan,1625.68,18000000.0
house-on-sale-in-imadol-lalitpur-NH11402,"House on sale in Imadol, Lalitpur",,False,False,2.5,5.0,3.0,False,Total Amount,13.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Imadol ,1026.75,20000000.0
house-on-sale-in-imadol-lalitpur-NH11401,"House on sale in Imadol, Lalitpur",,False,False,2.5,6.0,3.0,False,Total Amount,13.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Imadol ,1112.31,22000000.0
house-on-urgent-sale-in-harsha-chowk-thimi-NH11400,"House on urgent sale in Harsha Chowk, Thimi",,False,False,2.5,6.0,3.0,False,Total Amount,13.0,,Bagmati State,Bhaktapur,Madhyapur Thimi Municipality,Panipokhari,1369.0,21000000.0
house-on-sale-at-dhungeadda-chandagiri-NH11399,"House on sale at Dhungeadda, Chandagiri",,False,False,2.5,,,False,Total Amount,20.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Dhungeadda,1197.87,16000000.0
house-on-sale-at-dhungeadda-chandragiri-NH11398,"House on sale at Dhungeadda, Chandragiri",,False,False,2.5,,,False,Total Amount,20.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Dhungeadda,1026.75,15500000.0
house-on-sale-at-dhungeadda-chandragiri-NH11397,"House on sale at Dhungeadda, Chandragiri",,False,False,2.5,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Dhungeadda,1026.75,16500000.0
house-on-sale-in-tinthana-chandragiri-NH11396,"House on sale in Tinthana, Chandragiri",,False,False,2.5,,,False,Total Amount,20.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Tinthana,1026.75,18000000.0
house-on-sale-in-dhungeadda-chandragiri-NH11395,"House on sale in Dhungeadda, Chandragiri",,False,False,2.5,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Dawadi Gaun,1090.92,19000000.0
house-on-sale-rent-in-maitidevi-kathmandu-NH11393,"House on sale/rent in Maitidevi, Kathmandu",,False,False,3.5,,,False,Total Amount,13.0,East,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Maitidevi,4791.5,100000000.0
brand-new-house-on-sale-in-bafal-NH11392,Brand new house on sale in Bafal,,False,False,2.5,,,False,Total Amount,13.0,East,Bagmati State,Kathmandu,Nagarjun  Municipality,Bafal,1197.87,22500000.0
house-on-sale-at-putalisadak-NH11390,House on sale at Putalisadak,,False,False,4.0,,,False,Total Amount,,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Putalisadak,1754.03,50000000.0
house-on-sale-in-thankot-chandragiri-NH11388,"House on sale in Thankot, Chandragiri",,False,False,2.5,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Thankot,1026.75,12800000.0
house-on-sale-in-mahadevsthan-chandragiri-NH11387,"House on sale in Mahadevsthan, Chandragiri",,False,False,1.0,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Mahadevsthan,1369.0,12000000.0
house-on-sale-in-thankot-NH11386,House on sale in Thankot,,False,False,1.0,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Thankot,1197.87,9800000.0
house-on-sale-in-thankot-chandragiri-NH11382,"House on sale in Thankot, Chandragiri",,False,False,2.5,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Thankot,1026.75,17000000.0
bungalow-on-sale-in-naxal-NH11379,Bungalow on sale in Naxal,,False,False,,5.0,,False,Total Amount,20.0,East,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Naxal,4107.0,100000000.0
house-on-urgent-sale-in-budhanilkantha-NH11375,House on urgent sale in Budhanilkantha,2076.0,False,False,3.0,6.0,3.0,True,Total Amount,12.0,North-West,Bagmati State,Kathmandu,Budhanilkantha Municipality,Chyasindole,1026.75,
house-on-sale-in-rudreshwor-budhanilkantha-NH11374,"House on sale in Rudreshwor, Budhanilkantha",,False,False,,3.0,2.0,True,Total Amount,13.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Rudreshwor,1112.31,
commercial-house-on-sale-in-balaju-NH11373,Commercial house on sale in Balaju,,False,False,,,,False,Total Amount,,,Bagmati State,Kathmandu,Tokha  Municipality,Balaju,6160.5,260000000.0
commercial-house-on-sale-in-ratopool-gaushala,"Commercial house on sale in Ratopool, Gaushala",,False,False,6.5,,,True,Total Amount,,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Ratopool,5133.75,
house-on-sale-in-manjushree-marga-lalitpur-NH11371,"House on sale in Manjushree Marga, Lalitpur",,False,False,3.0,7.0,5.0,False,Total Amount,13.0,North-West,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bungamati,1197.87,25000000.0
brand-new-bungalow-on-urgent-sale-at-gothatar-NH11370,Brand new bungalow on urgent sale at Gothatar,,False,False,3.5,6.0,8.0,False,Total Amount,14.0,West,Bagmati State,Kathmandu,Kageshwari Manohara  Municipality,Gothatar,2395.75,62500000.0
brand-new-luxurious-house-on-sale-in-bhaisepati-NH11368,Brand new luxurious house on sale in Bhaisepati,,False,False,2.5,4.0,4.0,False,Total Amount,16.0,South-East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,8214.0,117500000.0
house-on-urgent-sale-in-bhaisepati-lalitpur-NH11367,"House on urgent sale in Bhaisepati, Lalitpur",,False,False,3.0,4.0,4.0,False,Total Amount,13.0,South-East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1540.12,25500000.0
house-on-sale-in-naxal-NH11363,House on sale in Naxal,,False,False,2.5,5.0,6.0,False,Total Amount,15.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Naxal,1369.0,38000000.0
house-on-sale-in-pasikot-budhanilkantha-NH11362,"House on sale in Pasikot, Budhanilkantha",,False,False,2.5,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Pasikot,2909.12,55000000.0
bungalow-on-sale-at-sanepa-lalitpur-NH11361,"Bungalow on sale at Sanepa, Lalitpur",,False,False,,4.0,4.0,False,Total Amount,14.0,South,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Sanepa,5476.0,97500000.0
house-on-sale-in-golfutar-NH11355,House on sale in Golfutar,,False,False,2.5,5.0,5.0,False,Total Amount,,East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Golfutar,1882.37,43000000.0
house-on-urgent-sale-in-samakhusi-sarkari-dhara-NH11354,"House on urgent sale in Samakhusi, Sarkari Dhara",,False,False,2.5,6.0,6.0,False,Total Amount,,East,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Samakhusi,1369.0,30000000.0
house-on-sale-in-mangal-colony-bhaisepati-NH11352,"House on sale in Mangal Colony, Bhaisepati",2075.0,False,False,2.5,3.0,4.0,False,Total Amount,20.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1647.0700000000002,27500000.0
house-on-sale-at-pasikot-budhanilkantha-NH11347,"House on sale at Pasikot, Budhanilkantha",,False,False,2.5,4.0,5.0,False,Total Amount,20.0,North-East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Pasikot,1882.37,30000000.0
house-on-sale-in-nilopool-sukedhara-NH11346,"House on sale in Nilopool, Sukedhara",,False,False,3.0,8.0,4.0,False,Total Amount,12.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Nilopool,1604.29,26000000.0
house-for-sale-at-pasikot-NH11344,House for sale at Pasikot,,False,False,,4.0,6.0,False,Total Amount,,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Pasikot,1882.375,32000000.0
commercial-house-for-sale-at-hattisar-NH11343,Commercial house for sale at Hattisar,,False,False,3.0,6.0,,False,Total Amount,20.0,West,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Naxal,1317.6625000000001,43500000.0
house-for-sale-at-greenhill-city-mulpani-NH11341,"House for sale at Greenhill city, Mulpani",,False,False,,8.0,6.0,False,Total Amount,12.0,,Bagmati State,Kathmandu,Kageshwari Manohara  Municipality,Mulpani,1540.12,29500000.0
nepali-house-for-sale-at-bhaisepati-lalitpur,"Nepali house for sale at Bhaisepati, Lalitpur",,False,False,2.5,4.0,5.0,False,Total Amount,,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,684.5,200000000.0
luxurious-house-on-sale-in-shantinagar-baneshwor-NH11322,"Luxurious house on sale in Shantinagar, Baneshwor",,False,False,,6.0,,False,Total Amount,,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Shantinagar,3508.06,90000000.0
house-on-sale-in-budhanilkantha-hepali-height-NH11315,"House on sale in Budhanilkantha, Hepali height",,False,False,,,,False,Total Amount,,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Hepali Height,1711.25,41000000.0
house-on-sale-at-baluwatar-kathmandu-NH11314,"House on sale at Baluwatar, Kathmandu",,False,False,,,,False,Total Amount,,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Baluwatar,3422.5,130000000.0
house-on-sale-in-budhanilkantha-NH11311,House on sale in Budhanilkantha,,False,False,2.5,5.0,5.0,False,Total Amount,19.0,South-West,Bagmati State,Kathmandu,Budhanilkantha Municipality,Budhanilkantha,1540.12,31000000.0
house-on-sale-at-dhapasi-height-NH11309,House on sale at Dhapasi Height,2071.0,False,False,2.5,11.0,5.0,False,Total Amount,20.0,South,Bagmati State,Kathmandu,Tokha  Municipality,Dhapasi,1540.12,25000000.0
house-on-sale-at-baluwatar-tunaldevi-mandir-NH11306,"House on sale at Baluwatar, Tunaldevi Mandir",,False,False,3.0,11.0,5.0,True,Total Amount,20.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Baluwatar,2053.5,
2-houses-are-on-sale-sale-in-baluwatar-NH11305,2 houses are on sale sale in Baluwatar,,False,False,,9.0,7.0,False,Total Amount,26.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Baluwatar,5304.87,120000000.0
house-on-urgent-sale-in-hepali-height-golfutar,"House on urgent sale in Hepali height, Golfutar",,False,False,2.5,3.0,4.0,False,Total Amount,26.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Golfutar,1026.75,22000000.0
bungalow-on-sale-in-maharajgunj-kathmandu-NH11301,"Bungalow on sale in Maharajgunj, Kathmandu",,False,False,,,,True,Total Amount,,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Maharajgunj,10952.0,
house-on-urgent-sale-in-hattigauda-budhanilkantha-NH11298,"House on urgent sale in Hattigauda, Budhanilkantha",,False,False,2.5,5.0,5.0,True,Total Amount,13.0,South-West,Bagmati State,Kathmandu,Budhanilkantha Municipality,Hattigaunda,1882.37,
house-on-sale-in-tikathali-lalitpur-NH11296,"House on sale in Tikathali, Lalitpur",,False,False,3.5,8.0,4.0,False,Total Amount,12.0,South,Bagmati State,Lalitpur,Mahalaxmi Municipality,Tikathali,1155.09,24000000.0
house-on-sale-at-bhangal-budhanilkantha-NH11295,"House on sale at Bhangal, Budhanilkantha",,False,False,,,,False,Total Amount,,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Bhangal ,1112.31,20000000.0
house-on-urgent-sale-in-balambu-chandragiri-NH11294,"House on urgent sale in Balambu, Chandragiri",,False,False,2.5,,,False,Total Amount,13.0,South-East,Bagmati State,Kathmandu,Chandragiri  Municipality,Balambu,1112.31,18500000.0
bungalow-on-sale-in-budhanilkantha-NH11293,Bungalow on sale in Budhanilkantha,,False,False,,5.0,,False,Total Amount,,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Rudreshwor,10952.0,140000000.0
house-on-sale-in-sitapaila-danda-pauwa-NH11290,"House on sale in Sitapaila, Danda Pauwa",,False,False,2.5,3.0,4.0,False,Total Amount,13.0,South,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Sitapaila,1197.87,18500000.0
house-on-sale-in-banasthali-kathmandu-NH11287,"House on sale in Banasthali, Kathmandu",,False,False,2.5,,,False,Total Amount,,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Banasthali,1026.75,20500000.0
house-on-sale-in-koteshwor-kathmandu-NH11286,"House on sale in Koteshwor, Kathmandu",,False,False,4.0,,,False,Total Amount,20.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Koteshwor,2053.5,36000000.0
house-on-sale-in-koteshwor-NH11285,House on sale in Koteshwor,,False,False,1.0,,,False,Total Amount,10.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Koteshwor,941.1800000000001,13500000.0
