slug_url,title,built_year,is_featured,is_premium,floors,bedroom,bathroom,is_price_on_call,price_type,road_access,property_face,state,district,city,area,area_sq_ft,amount
land-with-house-for-sale-in-ravi-bhawan,Land with house for sale in Ravi Bhawan,1998.0,False,False,2.5,5.0,5.0,False,Per Aana,20.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Rabi Bhawan,19166.0,280000000.0
house-on-sale-in-land-price-in-saibaba-marga-banasthali,"House on sale in land price in Saibaba Marga, Banasthali",,False,False,1.0,,,False,Per Aana,22.0,East,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Banasthali,3336.93,63374857.56026296
land-on-sale-with-free-house-in-thulobharyang,Land on sale with free house in Thulobharyang,,False,False,1.0,3.0,1.0,False,Per Aana,12.0,East,Bagmati State,Kathmandu,Nagarjun  Municipality,Thulobharyang,1005.35,19093571.950328708
house-on-sale-in-swoyambhu-in-land-price,House on sale in Swoyambhu in land price,,False,False,2.5,6.0,3.0,False,Per Aana,22.0,East,Bagmati State,Kathmandu,Nagarjun  Municipality,Swoyambhu,4363.68,79049864.13440469
bungalow-for-sale-at-syuchatar,Bungalow for sale at Syuchatar,,False,False,2.5,4.0,5.0,False,Per Aana,12.0,,Bagmati State,Kathmandu,Nagarjun  Municipality,Syuchatar,22588.5,231000000.0
land-on-sale-with-free-house-at-koteshwor-mahadevsthan,"Land on sale with free house at Koteshwor, Mahadevsthan",,False,False,1.0,,,False,Per Aana,14.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Koteshwor,3080.25,52200000.0
house-on-sale-in-land-price-in-sorakhutte-NH11117,House on sale in land price in Sorakhutte,,False,False,,,,False,Per Aana,20.0,East,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Sorhakhutte,1839.59,36549925.493060626
house-on-sale-at-thasikhel-lalitpur-NH11035,"House on sale at Thasikhel, Lalitpur",,False,False,2.0,,,False,Per Aana,20.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Thasikhel,3080.25,49500000.0
bungalow-on-sale-at-baluwatar,Bungalow on sale at Baluwatar,,False,False,,,,False,Per Aana,,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Baluwatar,10952.0,204800000.0
residential-purpose-house-for-sale-at-loolang-height-balaju,"Residential purpose house for sale at loolang height, Balaju",,False,False,1.0,1.0,1.0,,Per Aana,,South,Bagmati State,Kathmandu,Tarkeshwor  Municipality,Mudkhu,2566.87,26249948.867786705
house-for-sale-at-bhaisepati-NH10635,House for sale at Bhaisepati,,False,False,2.5,4.0,4.0,False,Total Amount,,North,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1369.0,28000000.0
house-on-urgent-sale-in-matatirtha,House on urgent sale in Matatirtha,2075.0,False,False,2.5,5.0,2.0,False,Total Amount,10.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Matatirtha,1369.0,16000000.0
house-for-sale-in-janajagriti-marga-banasthali,"House for sale in Janajagriti Marga, Banasthali",,False,False,2.0,,,False,Total Amount,21.0,South-West,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Banasthali,3593.62,62500000.0
house-on-sale-in-sita-homes-colony-sitapaila,"House on sale in Sita Homes Colony, Sitapaila",2019.0,False,False,1.0,3.0,1.0,False,Total Amount,15.0,,Bagmati State,Kathmandu,Nagarjun  Municipality,Sitapaila,1369.0,20000000.0
house-for-sale-in-tudaldevi,House for sale in Tudaldevi,,False,False,2.0,4.0,3.0,False,Total Amount,13.0,North,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Maharajgunj,1882.37,40000000.0
house-for-sale-inland-price-in-manbhawan,House for sale inland price in Manbhawan,2000.0,False,False,2.5,10.0,5.0,False,Total Amount,13.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Manbhawan,6845.0,110000000.0
house-for-sale-at-dhapasi,House for sale at Dhapasi,,False,False,2.5,,,False,Total Amount,13.0,North-East,Bagmati State,Kathmandu,Tokha  Municipality,Dhapasi,2395.75,43500000.0
bungalow-house-for-sale-in-ganesh-chowk-budhanilkantha,"Bungalow house for sale in Ganesh Chowk, Budhanilkantha",,False,False,2.5,5.0,5.0,False,Total Amount,13.0,South,Bagmati State,Kathmandu,Budhanilkantha Municipality,Ganesh Chowk,1711.25,35000000.0
house-for-sale-in-ganesh-chowk-budhanilkantha,"House for sale in Ganesh Chowk, Budhanilkantha",,False,False,2.5,5.0,5.0,False,Total Amount,15.0,South-West,Bagmati State,Kathmandu,Budhanilkantha Municipality,Ganesh Chowk,1540.12,32000000.0
furnished-bungalow-on-sale-in-samakhusi,Furnished bungalow on sale in Samakhusi,,False,False,2.5,4.0,4.0,False,Total Amount,13.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Samakhusi,1026.75,34000000.0
bungalow-for-sale-in-man-bahadur-marga-budhanilkantha,"Bungalow for sale in Man Bahadur Marga, Budhanilkantha",,False,False,2.5,3.0,4.0,False,Total Amount,15.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Manabahadur Marga,1197.87,23000000.0
bungalow-on-sale-in-narayanthan-budhanilkantha,"Bungalow on sale in Narayanthan, Budhanilkantha",,False,False,2.5,4.0,5.0,False,Total Amount,13.0,North-East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Narayanthan ,2566.87,55000000.0
brand-new-bungalow-house-for-sale-in-narayanthan-budhanilkantha,"Brand new bungalow house for sale in Narayanthan, Budhanilkantha",,False,False,2.5,5.0,5.0,False,Total Amount,13.0,North-East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Narayanthan ,1369.0,35000000.0
brand-new-house-for-sale-near-mediciti-hospital-nakkhu,"Brand new house for sale near Mediciti Hospital, Nakkhu",,False,False,2.5,4.0,5.0,False,Total Amount,20.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Nakkhu,1026.75,23500000.0
brand-new-house-on-sale-in-nakkhu-near-mediciti-hospital,"Brand new house on sale in Nakkhu, near Mediciti Hospital",,False,False,2.5,4.0,3.0,False,Total Amount,16.0,South,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Nakkhu,1026.75,23000000.0
house-on-sale-at-imadol-shital-height,"House on sale at Imadol, Shital Height",,False,False,2.5,,,False,Total Amount,15.0,,Bagmati State,Lalitpur,Mahalaxmi Municipality,Imadol,1026.75,19500000.0
house-for-sale-in-reliable-colony-bhaisepati,"House for sale in Reliable Colony, Bhaisepati",,False,False,2.5,4.0,4.0,False,Total Amount,16.0,East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1668.46,28000000.0
brand-new-house-on-sale-in-kusunti-lalitpur,"Brand new house on sale in Kusunti, Lalitpur",,False,False,2.5,4.0,4.0,False,Total Amount,15.0,North-West,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Kusunti,1112.31,23500000.0
house-for-sale-at-makalbari-NH12839,House for sale at Makalbari,,False,False,2.5,6.0,2.0,False,Total Amount,15.0,,Bagmati State,Kathmandu,Gokarneshwar Municipality,Makalbari,1197.87,17500000.0
hotel-for-sale-in-gongabu-new-buspark,"Hotel for sale in Gongabu, New Buspark",,False,False,5.0,54.0,56.0,False,Total Amount,15.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,New Buspark,5476.0,130000000.0
house-on-urgent-sale-in-gothatar,House on urgent sale in Gothatar,,False,False,2.5,5.0,3.0,False,Total Amount,14.0,,Bagmati State,Kathmandu,Kageshwari Manohara  Municipality,Gothatar,1026.75,20000000.0
bungalow-house-for-sale-in-rayamajhi-tole-nayabazar,"Bungalow house for sale in Rayamajhi Tole, Nayabazar",2000.0,False,False,2.5,5.0,4.0,False,Total Amount,14.0,North,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Naya Bazar,3593.62,47250000.0
house-for-sale-at-shankhamul,House for sale at Shankhamul ,2008.0,False,False,2.5,7.0,3.0,False,Total Amount,13.0,West,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Shankhamul,1369.0,40000000.0
house-on-sale-in-namgyal-chowk-swoyambhu,"House on sale in Namgyal Chowk, Swoyambhu",,False,False,2.5,5.0,5.0,False,Total Amount,13.0,South-East,Bagmati State,Kathmandu,Nagarjun  Municipality,Namgyal Chowk,1197.87,25000000.0
free-house-with-land-in-taukhel-godawari,"Free house with land in Taukhel, Godawari",,False,False,1.0,3.0,1.0,False,Total Amount,13.0,North,Bagmati State,Lalitpur,Godawari Municipality,Taukhel,1540.12,13000000.0
brand-new-house-for-sale-in-dhapasi,Brand new house for sale in Dhapasi,,False,False,2.5,,,False,Total Amount,13.0,South-East,Bagmati State,Kathmandu,Tokha  Municipality,Dhapasi,1582.8999999999999,28000000.0
house-for-sale-in-tokha-near-grande-housing,"House for sale in Tokha, near Grande Housing",,False,False,2.5,,,False,Total Amount,12.0,East,Bagmati State,Kathmandu,Tokha  Municipality,Tokha Height,1197.87,23000000.0
house-for-sale-in-gothatar,House for sale in Gothatar,2075.0,False,False,2.5,,,False,Total Amount,20.0,East,Bagmati State,Kathmandu,Kageshwari Manohara  Municipality,Gothatar,1176.48,20500000.0
bungalow-for-sale-in-baluwatar,Bungalow for sale in Baluwatar,,False,False,2.5,5.0,5.0,False,Total Amount,18.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Baluwatar,5818.25,125000000.0
brand-new-house-on-sale-in-tallo-pasikot,Brand new house on sale in Tallo Pasikot,,False,False,3.5,6.0,6.0,False,Total Amount,15.0,North-East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Pasikot,3080.25,65000000.0
house-for-sale-at-hattiban,House for sale at Hattiban,,False,False,2.5,6.0,4.0,False,Total Amount,12.0,East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Hattiban,1369.0,21500000.0
brand-new-house-for-sale-in-gothatar-NH12799,Brand new house for sale in Gothatar,,False,False,2.5,4.0,3.0,False,Total Amount,20.0,South-West,Bagmati State,Kathmandu,Kageshwari Manohara  Municipality,Gothatar,2053.5,37500000.0
house-for-sale-in-baluwatar,House for sale in Baluwatar,,False,False,3.5,11.0,8.0,False,Total Amount,20.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Baluwatar,4107.0,110000000.0
flat-system-house-for-sale-in-sanobharyang,Flat system house for sale in Sanobharyang,2019.0,False,False,2.5,5.0,4.0,False,Total Amount,20.0,,Bagmati State,Kathmandu,Nagarjun  Municipality,Sanobharyang,1540.12,29000000.0
house-on-sale-at-imadol-near-kist-hospital,"House on sale at Imadol, near Kist Hospital",,False,False,3.5,,,False,Total Amount,15.0,,Bagmati State,Lalitpur,Mahalaxmi Municipality,Imadol,1026.75,21000000.0
house-for-sale-in-syuchatar,House for sale in Syuchatar,,False,False,2.5,6.0,3.0,False,Total Amount,13.0,South,Bagmati State,Kathmandu,Nagarjun  Municipality,Syuchatar,1026.75,20500000.0
semi-furnished-bungalow-on-sale-in-budhanilkantha,Semi furnished bungalow on sale in Budhanilkantha,,False,False,2.5,5.0,,False,Total Amount,20.0,East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Budhanilkantha,2395.75,45000000.0
house-for-sale-in-khadkagaun-near-lri-school,"House for sale in Khadkagaun, near LRI School",,False,False,2.5,,,False,Total Amount,13.0,North-West,Bagmati State,Kathmandu,Chandragiri  Municipality,Khadka Gaun,1369.0,23000000.0
bungalow-for-sale-in-mandikhatar,Bungalow for sale in Mandikhatar,,False,False,2.5,,,False,Total Amount,18.0,East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Mandikhatar,17797.0,265000000.0
full-furnished-bungalow-for-sale-at-bhaisepati-NH12781,Full furnished bungalow for sale at Bhaisepati,,False,False,2.5,4.0,5.0,False,Total Amount,15.0,West,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,2053.5,51000000.0
brand-new-house-on-sale-in-bhaisepati-lalitpur,"Brand new house on sale in Bhaisepati, Lalitpur",,False,False,2.5,4.0,3.0,False,Total Amount,13.5,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1026.75,24000000.0
house-on-sale-in-shantinagar-baneshwor,"House on sale in Shantinagar, Baneshwor",,False,False,3.0,7.0,3.0,False,Total Amount,13.0,West,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Shantinagar,2652.43,43500000.0
house-for-sale-in-dhungeadda,House for sale in Dhungeadda,,False,False,2.5,4.0,2.0,False,Total Amount,13.0,North,Bagmati State,Kathmandu,Chandragiri  Municipality,Dhungeadda,1197.87,17000000.0
commercial-house-on-sale-in-manbhawan-near-cdo-office,"Commercial house on sale in Manbhawan, near CDO Office",,False,False,3.5,,,False,Total Amount,22.0,West,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Manbhawan,4791.5,150000000.0
house-on-sale-in-nakhu-near-mediciti-hospital,"House on sale in Nakhu, near Mediciti Hospital",,False,False,3.0,7.0,4.0,False,Total Amount,14.5,South-West,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Nakkhu,1369.0,32500000.0
house-for-sale-in-baluwatar-near-kalika-tower,"House for sale in Baluwatar, near Kalika Tower",,False,False,3.0,5.0,5.0,False,Total Amount,16.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Baluwatar,2224.62,63000000.0
full-furnished-bungalow-for-sale-in-bhaisepati,Full furnished bungalow for sale in Bhaisepati,,False,False,2.5,4.0,4.0,False,Total Amount,16.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1176.48,38000000.0
brand-new-homes-for-sale-in-bhaisepati-aawas-marga,"Brand new homes for sale in Bhaisepati, Aawas Marga",,False,False,2.5,4.0,5.0,False,Total Amount,20.0,South-East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1369.0,30000000.0
house-for-sale-at-duwakot,House for sale at Duwakot,,False,False,1.0,2.0,1.0,False,Total Amount,13.0,,Bagmati State,Bhaktapur,Changunarayan Municipality,Duwakot,1582.8999999999999,14500000.0
house-on-sale-in-duwakot,House on sale in Duwakot,,False,False,2.5,,3.0,False,Total Amount,13.0,,Bagmati State,Bhaktapur,Changunarayan Municipality,Duwakot,1026.75,15000000.0
brand-new-bungalow-on-sale-near-vinayak-colony-bhaisepti,"Brand new bungalow on sale near Vinayak Colony, Bhaisepti",,False,False,2.5,4.0,5.0,False,Total Amount,15.0,North-East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1711.25,42500000.0
bungalow-on-sale-in-nakhipot-near-kantipur-colony,"Bungalow on sale in Nakhipot, near Kantipur Colony",,False,False,3.0,8.0,6.0,False,Total Amount,20.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Nakhipot,5818.25,80000000.0
house-on-sale-in-mahadevsthan-chandragiri,"House on sale in Mahadevsthan, Chandragiri",,False,False,1.0,2.0,1.0,False,Total Amount,10.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Mahadevsthan,1026.75,10500000.0
residential-house-for-sale-in-makalbari,Residential house for sale in Makalbari,,False,False,2.5,6.0,3.0,False,Total Amount,10.0,South-East,Bagmati State,Kathmandu,Gokarneshwar Municipality,Makalbari,1026.75,15500000.0
modern-house-for-sale-in-samakhusi,Modern house for sale in Samakhusi,2013.0,False,False,2.5,3.0,3.0,False,Total Amount,13.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Samakhusi,1026.75,35000000.0
house-on-sale-in-hattiban-lalitpur,"house on sale in Hattiban, Lalitpur",,False,False,,,,False,Total Amount,13.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Hattiban,1369.0,21100000.0
house-for-sale-at-kapan,House for Sale at Kapan,2070.0,False,False,2.5,3.0,2.0,False,Total Amount,13.0,East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Kapan Gumba,1197.87,14000000.0
house-for-sale-in-narayantar,House for sale in Narayantar,,False,False,2.5,3.0,4.0,False,Total Amount,18.0,East,Bagmati State,Kathmandu,Gokarneshwar Municipality,Narayantar,1540.12,27500000.0
house-for-sale-in-southern-heights-colony-thaiba,"House for sale in Southern Heights Colony, Thaiba",,False,False,2.5,4.0,4.0,False,Total Amount,20.0,North-East,Bagmati State,Lalitpur,Godawari Municipality,Thaiba,2053.5,48500000.0
house-on-sale-in-vinayak-colony-bhaisepati,"House on sale in Vinayak Colony, Bhaisepati",,False,False,2.5,5.0,4.0,True,Total Amount,19.0,North-East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1925.1499999999999,
bungalow-on-sale-at-dhumbarahi-height,Bungalow on sale at Dhumbarahi Height,,False,False,2.5,4.0,5.0,False,Total Amount,15.0,South-East,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Dhumbarahi,5476.0,130000000.0
house-for-sale-in-baluwakhani-kapan,"House for sale in Baluwakhani, Kapan",,False,False,3.0,,,False,Total Amount,18.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Baluwakhani,1197.87,20300000.0
house-on-sale-in-ekatabasti,House on sale in Ekatabasti,,False,False,2.5,,,False,Total Amount,16.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Jyotinagar,855.62,16500000.0
commercial-building-on-sale-at-pyukha-newroad,"Commercial building on sale at Pyukha, Newroad",,False,False,8.5,4.0,7.0,False,Total Amount,15.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,New Road,556.15,220000000.0
house-on-sale-at-rose-village-balkot,"House on sale at Rose Village, Balkot",,False,False,2.5,4.0,4.0,False,Total Amount,19.0,,Bagmati State,Bhaktapur,Madhyapur Thimi Municipality,Rose Village,1796.81,37000000.0
commercial-house-on-sale-in-jadibuti-bhaktapur,"Commercial house on sale in Jadibuti, Bhaktapur",,False,False,4.5,21.0,7.0,False,Total Amount,20.0,North-East,Bagmati State,Bhaktapur,Madhyapur Thimi Municipality,Jadibuti,1625.68,39500000.0
house-for-sale-at-godawari,House for sale at Godawari,,False,False,3.0,3.0,3.0,False,Total Amount,13.0,,Bagmati State,Lalitpur,Godawari Municipality,Godawari,12321.0,67500000.0
luxurious-house-on-sale-in-aakasedhara-kapan,"Luxurious house on sale in Aakasedhara, Kapan",2077.0,False,False,2.5,5.0,5.0,True,Total Amount,15.0,South,Bagmati State,Kathmandu,Budhanilkantha Municipality,Kapan,1540.12,
house-on-sale-in-narephat-koteshwor,"House on sale in Narephat, Koteshwor",2071.0,False,False,2.5,6.0,4.0,False,Total Amount,13.0,West,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Narephat,2053.5,35500000.0
house-on-sale-only-in-land-price-in-sanobharyang,House on sale only in land price in Sanobharyang,2068.0,False,False,2.5,7.0,3.0,False,Total Amount,12.0,South,Bagmati State,Kathmandu,Nagarjun  Municipality,Sanobharyang,1796.81,18500000.0
bungalow-house-on-sale-at-shristy-colony-nagarjun,"Bungalow house on sale at Shristy Colony, Nagarjun",2062.0,False,False,2.0,5.0,,False,Total Amount,13.0,South,Bagmati State,Kathmandu,Nagarjun  Municipality,Sitapaila,5476.0,70000000.0
bungalow-for-sale-at-chandol-NH12696,Bungalow for sale at Chandol,,False,False,2.0,5.0,,False,Total Amount,15.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Chandol,2053.5,46000000.0
house-on-sale-in-khadkagaun-kalanki,"House on sale in Khadkagaun, Kalanki",,False,False,2.5,,,False,Total Amount,15.0,,Bagmati State,Kathmandu,Chandragiri  Municipality,Khadka Gaun,1369.0,22500000.0
bungalow-house-for-sale-in-budhanilkantha,Bungalow house for sale in Budhanilkantha,,False,False,2.5,7.0,5.0,False,Total Amount,13.0,South,Bagmati State,Kathmandu,Budhanilkantha Municipality,Budhanilkantha,8898.5,115000000.0
brand-new-bungalow-on-sale-in-bhaisepati,Brand new bungalow on sale in Bhaisepati,,False,False,2.5,6.0,6.0,False,Total Amount,16.0,North-West,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,1369.0,37500000.0
house-for-sale-in-makalbari,House for sale in Makalbari,,False,False,3.5,9.0,4.0,False,Total Amount,12.0,South-West,Bagmati State,Kathmandu,Gokarneshwar Municipality,Makalbari,1176.48,22500000.0
house-for-sale-in-lokanthali,House for sale in Lokanthali,,False,False,4.0,12.0,4.0,False,Total Amount,22.0,South,Bagmati State,Bhaktapur,Madhyapur Thimi Municipality,Lokanthali,1711.25,40000000.0
house-on-sale-in-imadol-opposite-of-green-hill-city,"House on sale in Imadol, opposite of Green Hill City",2077.0,False,False,2.5,4.0,4.0,False,Total Amount,18.0,East,Bagmati State,Lalitpur,Mahalaxmi Municipality,Imadol,1369.0,24000000.0
brand-new-house-on-sale-in-lubhu,Brand new house on sale in Lubhu,,False,False,2.5,,,False,Total Amount,14.0,,Bagmati State,Lalitpur,Mahalaxmi Municipality,Lubhu,1197.87,19500000.0
house-on-sale-at-bhangal-budhanilkantha-NH12685,"House on sale at Bhangal, Budhanilkantha",,False,False,2.5,,,False,Total Amount,15.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Bhangal ,1197.87,22000000.0
house-on-sale-in-baluwakhani-kapan,"House on sale in Baluwakhani, Kapan",,False,False,2.5,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Baluwakhani,1711.25,35000000.0
bungalow-on-sale-in-raniban,Bungalow on sale in Raniban,,False,False,2.5,4.0,5.0,False,Total Amount,20.0,West,Bagmati State,Kathmandu,Nagarjun  Municipality,Raniban,10609.75,120000000.0
house-for-sale-at-golfutar,House for sale at Golfutar,,False,False,2.5,5.0,4.0,False,Total Amount,13.0,North,Bagmati State,Kathmandu,Budhanilkantha Municipality,Golfutar,1454.56,27000000.0
brand-new-house-on-sale-in-ekantakuna,Brand new house on sale in Ekantakuna,,False,False,2.5,3.0,4.0,True,Total Amount,18.0,South-East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Ekantakuna,1369.0,
brand-new-house-on-sale-in-kusunti,Brand new house on sale in Kusunti,,False,False,2.5,4.0,4.0,True,Total Amount,20.0,South-East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Kusunti,1625.68,
house-on-sale-in-sagarmatha-colony-pepsicola,"House on sale in Sagarmatha Colony, Pepsicola",,False,False,2.5,5.0,3.0,False,Total Amount,13.0,North,Bagmati State,Kathmandu,Kageshwari Manohara  Municipality,Pepsicola,855.62,17000000.0
house-for-sale-at-kapan-height-NH12663,House for sale at Kapan Height,,False,False,2.5,6.0,5.0,False,Total Amount,12.0,West,Bagmati State,Kathmandu,Budhanilkantha Municipality,Kapan,1304.8200000000002,24000000.0
bungalow-for-sale-in-chandol,Bungalow for sale in Chandol,,False,False,2.5,4.0,3.0,False,Total Amount,18.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Chandol,1369.0,35000000.0
bungalow-on-sale-in-narayanthan,Bungalow on sale in Narayanthan,,False,False,2.5,6.0,,False,Total Amount,14.0,South-East,Bagmati State,Kathmandu,Budhanilkantha Municipality,Narayanthan ,3764.75,80000000.0
bungalow-for-sale-at-naxal,Bungalow for sale at Naxal,,False,False,2.5,5.0,,False,Total Amount,16.0,South,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Naxal,5818.25,135000000.0
house-for-sale-at-dhapasi-NH12654,House for sale at Dhapasi,,False,False,2.5,6.0,,False,Total Amount,20.0,South,Bagmati State,Kathmandu,Tokha  Municipality,Dhapasi,2053.5,33000000.0
bungalow-on-sale-at-hepali-height,Bungalow on sale at Hepali Height,,False,False,2.5,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Hepali Height,1369.0,33000000.0
house-on-sale-at-bhangal-budhanilkantha-NH12648,"House on sale at Bhangal, Budhanilkantha",,False,False,2.5,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Bhangal ,1711.25,28500000.0
house-on-sale-in-mandikhatar-budhanilkantha,"House on sale in Mandikhatar, Budhanilkantha",,False,False,2.5,,,False,Total Amount,16.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Mandikhatar,1540.12,32500000.0
house-for-sale-in-baluwakhani-NH12644,House for sale in Baluwakhani,,False,False,2.5,,,False,Total Amount,16.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Baluwakhani,1112.31,22000000.0
house-on-sale-in-jyotinagar,House on sale in Jyotinagar,,False,False,2.5,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Jyotinagar,1197.87,23500000.0
house-on-sale-in-nikhileshwor-mandikhatar,"House on sale in Nikhileshwor, Mandikhatar",,False,False,2.5,,,False,Total Amount,16.0,,Bagmati State,Kathmandu,Budhanilkantha Municipality,Nikhileshwor,1882.37,31000000.0
house-on-sale-at-sitapaila-NH12641,House on sale at Sitapaila,,False,False,2.5,5.0,3.0,False,Total Amount,16.5,South,Bagmati State,Kathmandu,Nagarjun  Municipality,Sitapaila,1454.56,22000000.0
bungalow-on-sale-only-in-land-price-at-chappal-karkhana,Bungalow on sale only in land price at Chappal Karkhana,,False,False,2.5,5.0,6.0,False,Total Amount,15.0,West,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Chappal karkhana,18481.5,200000000.0
house-for-sale-at-lokanthali,House for sale at Lokanthali,,False,False,4.5,12.0,4.0,False,Total Amount,13.0,West,Bagmati State,Bhaktapur,Madhyapur Thimi Municipality,Lokanthali,1796.81,35000000.0
house-for-sale-at-bhaisepati-lalitpur-NH12636,"House for sale at Bhaisepati, Lalitpur",,False,False,2.5,5.0,5.0,False,Total Amount,13.0,South-East,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Bhaisepati,7187.25,79500000.0
house-on-sale-in-sankata-colony-sitapaila,"House on sale in Sankata Colony, Sitapaila",,False,False,2.5,4.0,4.0,False,Total Amount,16.0,North,Bagmati State,Kathmandu,Nagarjun  Municipality,Sitapaila,1540.12,24000000.0
house-for-sale-at-bafal-NH12626,House for sale at Bafal,,False,False,3.5,17.0,4.0,False,Total Amount,16.5,South,Bagmati State,Kathmandu,Nagarjun  Municipality,Bafal,1882.37,46000000.0
house-for-sale-at-katunje,House for sale at Katunje,,False,False,2.5,,,False,Total Amount,16.5,,Bagmati State,Bhaktapur,Suryabinayak Municipality,Katunje,1197.87,17500000.0
new-house-on-sale-in-dhapakhel,New house on sale in Dhapakhel,,False,False,2.5,,,False,Total Amount,16.5,South,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Dhapakhel,1112.31,22000000.0
house-on-sale-in-tokha-saibaba-chowk,"House on sale in Tokha, Saibaba Chowk",,False,False,,,,False,Total Amount,13.0,,Bagmati State,Kathmandu,Tokha  Municipality,Sai Baba chowk,1283.43,18500000.0
house-on-sale-in-lubhu-lalitpur-NH12620,"House on sale in Lubhu, Lalitpur",,False,False,2.5,4.0,3.0,False,Total Amount,13.0,,Bagmati State,Lalitpur,Mahalaxmi Municipality,Lubhu,1711.25,18500000.0
house-on-sale-at-makalbari-buspark,House on sale at Makalbari Buspark,2070.0,False,False,3.5,6.0,5.0,False,Total Amount,12.0,North-East,Bagmati State,Kathmandu,Gokarneshwar Municipality,Makalbari,855.62,17000000.0
house-on-sale-in-nakkhu-near-mediciti-hospital,"House on sale in Nakkhu, near Mediciti Hospital",,False,False,2.5,4.0,5.0,False,Total Amount,20.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Karyabinayak,1369.0,32500000.0
house-on-sale-in-bojepokhari-lalitpur,"House on sale in Bojepokhari, Lalitpur",,False,False,2.5,,,False,Total Amount,12.0,South-East,Bagmati State,Lalitpur,Mahalaxmi Municipality,Bojepokhari,2053.5,30000000.0
brand-new-house-on-sale-in-syuchatar,Brand new house on sale in Syuchatar,,False,False,3.5,7.0,,False,Total Amount,20.0,North,Bagmati State,Kathmandu,Nagarjun  Municipality,Syuchatar,1369.0,29500000.0
